Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A
-252.69420471598335,590.6146196549398,-804.2149321469124,-0.031843631230943914,0.43749736021580543,0.1690276156398235,1.0,1.0,1.0,1.0
-337.858778826003,315.88330048550074,125.75081430840851,0.35371998316624387,0.36384392045778435,-0.38099279295924915,1.0,0.0,1.0,1.0
-111.62389181293292,66.19410579478472,-530.7419830191081,0.16990949843407466,-0.36127286004113446,0.09479322263311885,0.0,0.0,1.0,1.0
-121.48363008959268,-2.2800180730828288,724.9332035391967,0.20307367770093887,0.6244576075258021,-0.5756651729694696,0.0,1.0,1.0,1.0
-422.05164824122426,653.2295845307324,266.37607222757765,-0.5097889931646437,-0.5128194197584962,-0.1295415571815383,0.0,0.0,0.0,0.0
-847.5536728623296,396.8499762125457,-819.9107429552919,0.37837754457912576,0.4351454197670497,0.28116451847054647,1.0,0.0,0.0,1.0
881.1050484256789,661.8381398723075,-352.70858846067574,0.46993682653559543,-0.2089963805497177,-0.5057874630459835,0.0,0.0,1.0,1.0
-428.10954676232956,-217.5964266857925,-247.73079033634804,-0.5500286454107159,0.4451269516191376,0.2732282269251527,0.0,0.0,0.0,0.0
-224.77213084900052,-330.6859488540139,225.13680619239312,0.2288312229779751,-0.18821315414045242,-0.15192673608484653,0.0,0.0,0.0,0.0
-592.9137558176519,614.1144312370534,566.4817263045509,0.544404456034316,-0.5291603083890024,0.32574074860771207,1.0,0.0,0.0,1.0
-40.50968376992512,626.1972269702253,-442.29475584679,-0.24420593461682838,-0.5597487600076507,0.28794518691394333,1.0,0.0,0.0,1.0
-852.464091448013,208.1003386581499,-66.15797088941156,-0.21832928497769077,0.28447944304900163,0.24559632074001103,1.0,0.0,1.0,1.0
119.93107515874351,709.6465809277122,847.60247621844,0.029601082098275056,0.3527322646862303,0.09202522540145308,0.0,1.0,1.0,1.0
238.98349749361887,467.4349945094907,-733.7905479181027,-0.27217171633759396,0.2992703146260184,0.10185142727180507,0.0,0.0,1.0,1.0
-599.19130387629,412.1998777097581,-113.5291551002349,-0.605270448087885,0.5063177052124785,0.04909541230104941,0.0,1.0,1.0,1.0
-94.50448721850512,-347.997043558326,200.5498891063785,0.43558109243972076,0.4829502999270272,-0.07301446377005838,0.0,0.0,1.0,1.0
-555.9333406675928,221.90134406537027,-573.190756130409,-0.003387648258963205,-0.09418899625802013,-0.06759271070609463,0.0,0.0,0.0,0.0
-770.6161331823399,-309.05592149386723,-470.85730598828167,0.4678316737211494,0.36604390162410816,-0.45924769966809315,1.0,1.0,1.0,1.0
689.3335984783296,-802.1385165582602,-568.1673106672658,0.12144131220957022,0.6228158116802167,0.10962711302769979,1.0,1.0,1.0,1.0
87.29679409001187,-39.22625650721295,-801.5287817984936,0.33494277383413507,0.3424599660547136,-0.18781325643770125,1.0,0.0,0.0,1.0
-870.710734227011,868.505776780685,292.4197418922254,-0.168545695325498,0.2868633565005456,-0.00628515781846295,1.0,0.0,0.0,1.0
-237.03623303017412,-58.26701449291454,-407.6638814560822,0.07311744982255053,0.27305767634949407,0.33040222895596394,0.0,0.0,0.0,0.0
-273.3637225152569,261.5195596215174,692.1364442643826,-0.29055933398558603,-0.4265949512329885,-0.2587949528194205,0.0,0.0,0.0,0.0
-557.7645859027648,604.0527878883131,-666.4239084780612,-0.0035356116004908733,-0.18516670968050253,0.07665118464407139,0.0,0.0,1.0,1.0
-503.16068440843037,-833.968470599836,-632.0604038187357,-0.5557288294747402,0.021979821109901154,-0.16638470239375996,0.0,0.0,0.0,0.0
739.4246065379862,-77.94973297900299,-744.7527780919917,0.029455004692365283,-0.08581093332838974,-0.26797505457757864,0.0,0.0,1.0,1.0
814.4840349752242,673.2172155718231,463.4728316887142,0.4787287492682699,-0.37966666022330303,0.21371094220061448,0.0,1.0,1.0,1.0
768.0332530140363,-506.4081532086468,609.2536610923962,0.5037033581456996,0.05772122332612928,0.45027614598597865,1.0,0.0,0.0,1.0
337.2459195459362,656.6863866396427,538.8361374639846,-0.468917316739494,0.002252976057868894,-0.05838870403366636,1.0,0.0,0.0,1.0
-270.49522371208695,485.9529640381072,-414.9698392074655,-0.6108747687244411,-0.06019834995508999,-0.16511741706636757,1.0,1.0,1.0,1.0
-302.17048277075605,-707.3330047789241,785.4099105502028,0.19378766599903985,0.5516571002372355,-0.5086541916848122,1.0,1.0,1.0,1.0
-368.67562752496576,31.593341906586716,-184.972650569277,-0.2225071614312797,-0.059200496656682366,-0.060620299586267246,1.0,0.0,0.0,1.0
